wl	PWM109
787.39	-1.3
787.786	0.57
788.182	0.63
788.578	-0.35
788.974	1.43
789.369	-2.24
789.765	0.87
790.161	1.19
790.556	-0.34
790.952	0.69
791.347	1.03
791.742	-0.63
792.137	2.03
792.533	-0.92
792.928	2.58
793.323	0.48
793.718	1.28
794.113	-0.23
794.508	1.21
794.902	0.2
795.297	0.88
795.692	1.02
796.086	0.41
796.481	0.98
796.875	-0.06
797.27	0.74
797.664	-1.14
798.058	1.48
798.453	1.58
798.847	0.27
799.241	0.19
799.635	-0.33
800.029	-0.13
800.423	-0.18
800.817	-0.29
801.21	-1.12
801.604	0.75
801.998	-1.38
802.391	-0.09
802.785	-1.87
803.178	-0.07
803.572	-0.92
803.965	0.94
804.358	1.03
804.752	0.4
805.145	1.58
805.538	2.5
805.931	-0.56
806.324	0.56
806.717	-0.26
807.11	-0.35
807.502	0.96
807.895	-0.66
808.288	-0.64
808.68	-0.73
809.073	-2.62
809.465	0.69
809.858	-0.32
810.25	-0.36
810.642	1.62
811.034	1.47
811.426	-1.86
811.818	1.55
812.21	-1.19
812.602	-0.17
812.994	-0.56
813.386	-1.05
813.778	-0.07
814.169	-1.37
814.561	2.01
814.953	1.52
815.344	2.49
815.736	0.67
816.127	1.63
816.518	-0.64
816.909	0.03
817.301	1.35
817.692	3.29
818.083	-0.1
818.474	0.43
818.865	1.4
819.255	-0.72
819.646	0.75
820.037	1.81
820.428	-0.28
820.818	-1.32
821.209	-0.09
821.599	1.21
821.99	-0.56
822.38	-1.7
822.77	0.65
823.16	-0.74
823.55	0.75
823.94	1.3
824.33	-0.4
824.72	-0.42
825.11	0.35
825.5	0.91
825.89	-0.05
826.28	2.15
826.669	2.66
827.059	0.01
827.448	-0.09
827.838	0.14
828.227	0.35
828.616	0.27
829.005	0.31
829.395	0.9
829.784	1.27
830.173	1.43
830.562	0.52
830.951	-1.8
831.339	-1.71
831.728	-1.45
832.117	-0.44
832.506	-0.16
832.894	-0.81
833.283	-0.13
833.671	-0.31
834.059	1
834.448	-0.94
834.836	-1.32
835.224	1.79
835.612	2.73
836	-0.46
836.388	-1.22
836.776	0.42
837.164	-4.26
837.552	1.95
837.94	0.17
838.327	1.24
838.715	0.36
839.103	0.63
839.49	0.43
839.877	0.97
840.265	0.41
840.652	1.26
841.039	1.21
841.426	2.77
841.813	1.68
842.2	0.03
842.587	1.29
842.974	1.55
843.361	-0.86
843.748	-0.82
844.134	0.36
844.521	4.5
844.908	-2.5
845.294	0.89
845.681	1.83
846.067	-0.33
846.453	3.57
846.839	3.25
847.226	-1.88
847.612	-0.22
847.998	-1.28
848.384	0.96
848.77	-0.85
849.155	-0.27
849.541	1.49
849.927	-1.11
850.312	-0.51
850.698	-1.49
851.084	-0.24
851.469	-1.03
851.854	-0.76
852.24	-0.32
852.625	0.77
853.01	1.49
853.395	-0.36
853.78	1.81
854.165	2.5
854.55	-1.71
854.935	-0.38
855.32	-2.87
855.704	0.97
856.089	0.94
856.474	-0.74
856.858	1.45
857.243	3.04
857.627	1.7
858.011	-1.81
858.396	2.79
858.78	-2.13
859.164	2.38
859.548	-3.56
859.932	-1.93
860.316	0.79
860.7	3.32
861.083	0.21
861.467	3.53
861.851	1.71
862.234	1.59
862.618	-0.46
863.001	-1.59
