wl	W
574.696	54407.91556
575.122	54337.18
575.548	54275.28556
575.974	54249.8
576.4	54168.92111
576.826	54142.13444
577.252	54044.35222
577.677	53982.19778
578.103	53960.09222
578.528	53887.53556
578.954	53869.33111
579.379	53900.53778
579.805	53885.97444
580.23	53935.64556
580.655	53954.89
581.081	53968.15222
581.506	53940.06556
581.931	53940.06556
582.356	53911.19889
582.781	53880.25111
583.206	53863.86778
583.631	53858.14667
584.056	53819.13778
584.481	53737.73889
584.905	53726.03667
585.33	53719.53556
585.755	53652.18
586.179	53640.47778
586.604	53658.68222
587.028	53603.02889
587.453	53591.06556
587.877	53535.67333
588.302	53506.28667
588.726	53468.57778
589.15	53431.38889
589.574	53393.16111
589.998	53361.43333
590.422	53282.11556
590.846	53209.03889
591.27	53123.22
591.694	53044.16111
592.118	52986.16778
592.542	52862.64
592.966	52790.60333
593.389	52763.29667
593.813	52709.72444
594.236	52630.92667
594.66	52609.34222
595.083	52558.89
595.507	52482.43333
595.93	52411.43778
596.354	52350.32333
596.777	52270.48556
597.2	52233.81667
597.623	52145.13667
598.046	52071.54
598.469	51998.72333
598.892	51868.17333
599.315	51859.07111
599.738	51860.63111
600.161	51886.11667
600.584	51911.08222
601.006	51936.30889
601.429	52048.65444
601.851	52175.30333
602.274	52228.61556
602.696	52384.13111
603.119	52492.05556
603.541	52565.39222
603.964	52705.30444
604.386	52792.68444
604.808	52802.30667
605.23	52839.75556
605.652	52900.86889
606.074	52965.62333
606.496	52986.42889
606.918	53024.91778
607.34	53044.68222
607.762	52987.73
608.184	52900.61
608.606	52865.24111
609.027	52754.45556
609.449	52546.40778
609.87	52356.30444
610.292	52156.31778
610.713	51884.29556
611.135	51586.52778
611.556	51294.74
611.977	50948.86111
612.398	50553.57111
612.82	50129.93444
613.241	49788.73667
613.662	49342.21444
614.083	48878.00889
614.504	48429.14556
614.925	47959.73778
615.345	47510.87556
615.766	47095.82
616.187	46643.57667
616.608	46236.06333
617.028	45706.84222
617.449	45307.13111
617.869	44849.42556
618.29	44417.98778
618.71	43986.54889
619.131	43515.58111
619.551	43060.73778
619.971	42636.84
620.391	42176.01444
620.811	41754.45778
621.231	41331.08111
621.651	40905.36444
622.071	40492.12889
622.491	40039.10556
622.911	39665.4
623.331	39232.66111
623.751	38851.41444
624.17	38504.49444
624.59	38120.38667
625.009	37728.73667
625.429	37398.98111
625.848	37027.87667
626.268	36678.09667
626.687	36258.88111
627.106	35942.90778
627.526	35576.22333
627.945	35198.61778
628.364	34876.40444
628.783	34503.47889
629.202	34137.57444
629.621	33825.24333
630.04	33496.52778
630.459	33168.33222
630.878	32770.18111
631.296	32398.29667
631.715	32042.01444
632.134	31729.94222
632.552	31418.65111
632.971	31072.25222
633.389	30668.38
633.807	30323.80111
634.226	30019.01111
634.644	29723.06333
635.062	29408.91111
635.48	29103.34111
635.899	28744.45889
636.317	28433.94778
636.735	28150.74333
637.153	27854.27444
637.57	27560.40778
637.988	27228.57222
638.406	26941.20667
638.824	26627.05444
639.241	26301.98
639.659	25996.41111
640.077	25651.05222
640.494	25338.46
640.912	25057.59667
641.329	24715.61778
641.746	24412.64778
642.164	24135.42444
642.581	23860.54222
642.998	23568.23556
643.415	23322.73889
643.832	23075.42222
644.249	22815.62333
644.666	22535.53889
645.083	22318.65
645.5	22081.99667
645.916	21784.48889
646.333	21537.95222
646.75	21276.85222
647.166	21011.85111
647.583	20751.53111
647.999	20478.46889
648.416	20230.37222
648.832	19968.75222
649.249	19709.73222
649.665	19477.75889
650.081	19205.47667
650.497	18960.76111
650.913	18722.28667
651.329	18483.55222
651.745	18201.12667
652.161	17928.32444
652.577	17697.91111
652.993	17457.09667
653.409	17204.57889
653.824	16987.42889
654.24	16755.19556
654.655	16525.04333
655.071	16297.49111
655.486	16085.80333
655.902	15879.31556
656.317	15662.68667
656.732	15436.69444
657.148	15211.48333
657.563	14998.49444
657.978	14799.02889
658.393	14564.45556
658.808	14371.49111
659.223	14182.94778
659.638	13980.88111
660.053	13798.05889
660.467	13604.83444
660.882	13397.04667
