wl	RGBW
530.105	43287.21778
530.537	42782.44222
530.968	42318.75556
531.399	41854.28889
531.831	41408.80667
532.262	40947.72111
532.693	40497.55778
533.124	40072.36
533.555	39664.32667
533.986	39209.22333
534.417	38813.93222
534.848	38423.32333
535.279	37995.00556
535.71	37606.99667
536.141	37253.57556
536.572	36940.98444
537.002	36550.11444
537.433	36156.90444
537.863	35852.11444
538.294	35502.07444
538.724	35166.85778
539.155	34880.79222
539.585	34542.71556
540.015	34208.27889
540.446	33870.98111
540.876	33583.61556
541.306	33332.39889
541.736	33008.36444
542.166	32771.45
542.596	32425.57111
543.026	32153.02889
543.456	31904.15111
543.886	31674.51889
544.316	31472.45333
544.745	31247.50222
545.175	31016.56889
545.605	30786.93667
546.034	30575.50889
546.464	30384.88444
546.893	30125.60444
547.323	29934.72111
547.752	29710.80889
548.181	29459.33111
548.611	29270.00778
549.04	29080.16444
549.469	28884.86
549.898	28693.19556
550.327	28580.07
550.756	28451.08111
551.185	28293.22444
551.614	28100.26111
552.043	27944.22556
552.472	27759.58333
552.9	27565.05889
553.329	27439.97
553.758	27272.23222
554.186	27112.03556
554.615	27001.51
555.043	26836.11222
555.472	26725.84667
555.9	26616.88111
556.328	26531.06111
556.757	26482.43
557.185	26404.93222
557.613	26328.47444
558.041	26229.13222
558.469	26167.49778
558.897	26126.40889
559.325	26146.95333
559.753	26159.69667
560.181	26142.79333
560.609	26138.11222
561.037	26109.76556
561.464	26165.93889
561.892	26219.77111
562.319	26228.61333
562.747	26292.32778
563.175	26309.23222
563.602	26346.68111
564.029	26432.5
564.457	26491.01333
564.884	26559.66889
565.311	26603.87889
565.738	26653.29
566.165	26727.40667
566.592	26757.83333
567.019	26801.52333
567.446	26774.21667
567.873	26751.07222
568.3	26726.10667
568.727	26706.60222
569.154	26607.25889
569.58	26518.57889
570.007	26468.90778
570.434	26374.24667
570.86	26236.67444
571.287	26183.88222
571.713	26046.31
572.139	25947.74667
572.566	25862.44778
572.992	25818.23778
573.418	25743.6
573.844	25650.49889
574.27	25596.40667
574.696	25545.43556
575.122	25436.47111
575.548	25357.67333
575.974	25329.32778
576.4	25228.94444
576.826	25151.44667
577.252	25131.68222
577.677	25079.67
578.103	25000.61111
578.528	24980.06667
578.954	24975.12556
579.379	24991.76889
579.805	24960.04111
580.23	25005.29111
580.655	25018.81444
581.081	24987.86778
581.506	24922.33333
581.931	24945.99889
582.356	24882.80444
582.781	24879.16333
583.206	24869.28111
583.631	24833.39333
584.056	24745.75333
584.481	24714.80667
584.905	24709.34556
585.33	24727.28889
585.755	24703.62333
586.179	24713.76556
586.604	24696.34111
587.028	24704.14333
587.453	24693.22
587.877	24717.92556
588.302	24703.10111
588.726	24704.14111
589.15	24692.95889
589.574	24681.77667
589.998	24690.09778
590.422	24635.22556
590.846	24602.45778
591.27	24594.91667
591.694	24602.71889
592.118	24592.83667
592.542	24532.76222
592.966	24547.58556
593.389	24535.88333
593.813	24495.05444
594.236	24503.11667
594.66	24463.06778
595.083	24471.39
595.507	24458.38667
595.93	24501.03667
596.354	24537.18556
596.777	24543.16667
597.2	24553.56889
597.623	24590.23778
598.046	24679.17778
598.469	24774.36
598.892	24815.44889
599.315	24848.73667
599.738	24896.58778
600.161	24979.54667
600.584	25053.14444
601.006	25184.47444
601.429	25348.83111
601.851	25461.69667
602.274	25591.98667
602.696	25772.20778
603.119	25960.49111
603.541	26113.92667
603.964	26313.91222
604.386	26509.21667
604.808	26735.72889
605.23	26904.76778
605.652	27110.47556
606.074	27307.86
606.496	27464.93667
606.918	27706.27222
607.34	27913.53889
607.762	28138.75111
608.184	28301.80778
608.606	28428.19667
609.027	28580.59222
609.449	28734.80667
609.87	28883.82111
610.292	29078.60556
610.713	29186.53
611.135	29283.53222
611.556	29366.23111
611.977	29507.96444
612.398	29632.27222
612.82	29826.53667
613.241	29937.84222
613.662	30085.81556
614.083	30226.50778
614.504	30483.18667
614.925	30695.39556
615.345	30889.4
615.766	31116.69111
616.187	31380.13111
616.608	31553.85
617.028	31822.75222
617.449	32126.76222
617.869	32404.76556
618.29	32621.13444
618.71	32921.24333
619.131	33217.97111
619.551	33542.26556
619.971	33837.17333
620.391	34254.83
620.811	34622.29333
621.231	35019.66444
621.651	35421.45667
622.071	35813.36667
622.491	36270.29111
622.911	36742.81889
623.331	37194.80222
623.751	37708.42
624.17	38127.89556
624.59	38712.77
625.009	39191.01889
625.429	39780.05333
625.848	40333.98
626.268	40891.54778
626.687	41406.98556
627.106	41949.73
627.526	42415.23667
627.945	42905.96889
628.364	43202.43667
628.783	43534.53333
629.202	43721.77667
629.621	43885.35444
630.04	43872.87111
630.459	43771.44778
630.878	43459.63667
631.296	43051.86333
631.715	42484.67333
632.134	41809.55889
632.552	40913.13333
632.971	39869.25444
633.389	38733.83444
633.807	37460.32333
634.226	36137.66111
634.644	34757.26556
635.062	33305.87333
635.48	31807.15
635.899	30289.70222
636.317	28888.76222
636.735	27451.67222
637.153	26054.37222
637.57	24793.34333
637.988	23585.88667
638.406	22447.60556
638.824	21402.42667
639.241	20459.71111
639.659	19574.98889
640.077	18703.78889
640.494	17975.62222
640.912	17259.67889
641.329	16608.75
641.746	15985.38778
642.164	15431.20111
642.581	14919.92333
642.998	14405.52556
643.415	13953.02222
643.832	13529.12556
644.249	13155.68111
644.666	12799.13889
645.083	12425.95333
645.5	12096.19778
645.916	11784.90667
